,,,,
Precinct,Location,Address,Latitude,Longitude
R001,Imperial Point Hospital,6401 N Federal HwyFort Lauderdale FL 33308,26.206805,-80.111015
R002,Imperial Point Hospital,6401 N Federal HwyFort Lauderdale FL 33308,26.206805,-80.111015
R003,Fire Station #35,1969 E Commercial BlvdFort Lauderdale FL 33308,26.189519,-80.119807
R004,Galt Ocean Mile County Library,3403 Galt Ocean DrFort Lauderdale FL 33308,26.170157,-80.099452
R005,City of Ft. Lauderdale Comm Center,3351 NE 33rd AveFort Lauderdale FL 33308,26.169722,-80.102419
R006,Floranada Elementary School,5250 NE 14th WayFort Lauderdale FL 33334,26.192623,-80.128103
R007,Floranada Elementary School,5250 NE 14th WayFort Lauderdale FL 33334,26.192623,-80.128103
R008,Cardinal Gibbons High School,2900 NE 47th StFort Lauderdale FL 33308,26.185661,-80.108186
R009,Fire Station #35,1969 E Commercial BlvdFort Lauderdale FL 33308,26.189519,-80.119807
R010,Christ Church United Methodist,4845 NE 25th AveFort Lauderdale FL 33308,26.188452,-80.112411
R011,Imperial Point Branch Library,5985 N Federal HWYFort Lauderdale FL 33308,26.202082,-80.109995
R012,City of Ft. Lauderdale Comm Center,3351 NE 33rd AveFort Lauderdale FL 33308,26.169722,-80.102419
R013,Coral Ridge Mall - NE Entrance,3200 N Federal HWYFort Lauderdale FL 33306,26.168998,-80.115805
R014,Fort Lauderdale Branch Library,1300 E Sunrise BlvdFort Lauderdale FL 33304,26.136802,-80.130211
R015,George English Park Community Ctr.,1101 Bayview DrFort Lauderdale FL 33304,26.138855,-80.117133
R016,Second Presbyterian Church,1400 N Federal HWYFort Lauderdale FL 33304,26.144302,-80.117952
R017,Sunrise Middle School,1750 NE 14th St.Fort Lauderdale FL 33304,26.143695,-80.123056
R018,Holiday Park Social Center,1150 G Harold Martin DrFort Lauderdale FL 33304,26.133042,-80.132375
R019,Gateway Terrace,1943 NE 6th Court N106Fort Lauderdale FL 33304,26.131521,-80.120121
R020,Fort Lauderdale Branch Library,1300 E Sunrise BlvdFort Lauderdale FL 33304,26.136802,-80.130211
R021,Second Presbyterian Church,1400 N Federal HWYFort Lauderdale FL 33304,26.144302,-80.117952
R022,Thurgood Marshall Elementary School,800 NW 13th St.Fort Lauderdale FL 33311,26.140892,-80.152954
R023,YMCA L.A. Lee Branch Auditorium,408 NW 14th TerFort Lauderdale FL 33311,26.126356,-80.159909
R024,Lauderdale Manors Early Learning & Family Resource,1400 NW 14th CtFort Lauderdale FL 33311,26.143647,-80.161566
R025,Fort Lauderdale Manors Church,1518 NW 15th Ave.Fort Lauderdale FL 33311,26.146341,-80.162133
R026,Lauderdale Manors Community Center,1340 Chateau Park DrFort Lauderdale FL 33311,26.142851,-80.1602
R027,Warfield Park Recreation Center,1000 N Andrews AveFort Lauderdale FL 33311,26.137783,-80.14373
R028,Dillard Elementary School,2330 NW 12th CtFort Lauderdale FL 33311,26.140202,-80.173295
R029,YMCA L.A. Lee Branch Auditorium,408 NW 14th TerFort Lauderdale FL 33311,26.126356,-80.159909
R030,Franklin Park Community Center,2501 Franklin DrFort Lauderdale FL 33311,26.134382,-80.175693
R031,Stranahan High School,1800 SW 5th PlFort Lauderdale FL 33312,26.11402,-80.16592
R032,Trinity Lutheran Church,11 SW 11th StFort Lauderdale FL 33315,26.109497,-80.143743
R033,Int'l Longshoremen's Local #1526,440 NW 6th StFort Lauderdale FL 33311,26.129403,-80.148397
R034,Virginia S. Young Elementary School,101 NE 11th AveFort Lauderdale FL 33301,26.123482,-80.132696
R035,First Presbyterian Church,451 Tarpon DrFort Lauderdale FL 33301,26.117644,-80.129512
R036,First Presbyterian Church,451 Tarpon DrFort Lauderdale FL 33301,26.117644,-80.129512
R037,First Presbyterian Church,451 Tarpon DrFort Lauderdale FL 33301,26.117644,-80.129512
R038,St. Sebastian Catholic Church,2000 SE 25th AveFort Lauderdale FL 33316,26.096208,-80.112192
R039,St. Sebastian Catholic Church,2000 SE 25th AveFort Lauderdale FL 33316,26.096208,-80.112192
R040,Plumbers Local Union #719,2502 S Andrews AveFort Lauderdale FL 33316,26.091385,-80.139934
R041,Salvation Army Center,100 SW 9th AveFort Lauderdale FL 33312,26.121626,-80.152889
R042,Ft. Lauderdale 7th Day Adventist Church,850 Davie BlvdFort Lauderdale FL 33315,26.106876,-80.152605
R043,Croissant Park Elementary School,1800 SW 4th AveFort Lauderdale FL 33315,26.099041,-80.145252
R044,First Christian Church,201 SE 13th StFort Lauderdale FL 33316,26.106576,-80.140634
R045,Plumbers Local Union #719,2502 S Andrews AveFort Lauderdale FL 33316,26.091385,-80.139934
R046,Coral Ridge Mall - NE Entrance,3200 N Federal HWYFort Lauderdale FL 33306,26.168998,-80.115805
R047,Whiddon Rogers Education Center,700 SW 26th StFort Lauderdale FL 33315,26.090532,-80.150089
R048,Le Tabernacle De La Grace,3040 SW 11th Ct.Fort Lauderdale FL 33312,26.107643,-80.185545
R049,Riverland Elementary School,2600 SW 11th CtFort Lauderdale FL 33312,26.108926,-80.175969
R050,Le Tabernacle De La Grace,3040 SW 11th Ct.Fort Lauderdale FL 33312,26.107643,-80.185545
R051,Westwood Heights Elementary School,2861 SW 9th StFort Lauderdale FL 33312,26.111269,-80.182538
R052,Willow Wood,2855 W Commercial BlvdFort Lauderdale FL 33309,26.188342,-80.182151
R053,Department of Transportation,5548 NW 9th AveFort Lauderdale FL 33309,26.19497,-80.155186
R054,First Christian Church,201 SE 13th StFort Lauderdale FL 33316,26.106576,-80.140634
R055,St. Sebastian Catholic Church,2000 SE 25th AveFort Lauderdale FL 33316,26.096208,-80.112192
R056,Lauderdale Manors Community Center,1340 Chateau Park DrFort Lauderdale FL 33311,26.142851,-80.1602
R057,Warfield Park Recreation Center,1000 N Andrews AveFort Lauderdale FL 33311,26.137783,-80.14373
R058,Riverside Park,555 SW 11th Ave.Fort Lauderdale FL 33312,26.114415,-80.156334
R059,Ft. Lauderdale 7th Day Adventist Church,850 Davie BlvdFort Lauderdale FL 33315,26.106876,-80.152605
R060,Fort Lauderdale Fire Rescue,528 NW 2nd StFort Lauderdale FL 33311,26.12366,-80.149292
R061,Dayspring International Church of the Nazarene,2300 SW 15th AveFort Lauderdale FL 33315,26.093101,-80.159997
R062,Delevoe Park,2520 NW 6th StFort Lauderdale FL 33311,26.128351,-80.175514
R063,Melrose Park Community Center,3810 SW 2nd CtFort Lauderdale FL 33312,26.118176,-80.199602
